23124,27069
23127,27069
23130,27069
23131,33193
23134,33193
23137,33193
23140,33193
23141,327715
23142,327715
23145,327715
23148,327715
23151,213949
23154,213949
23157,213949
23160,213949
23161,0
23164,0
23167,0
23170,0
23171,72775
23174,72775
23061,10110
23064,10110
23067,10110
23070,10110
23071,36473
23074,36473
23077,36473
23080,36473
23081,14684
23177,72775
23180,72775
23181,597
23184,597
23187,597
23190,597
23084,14684
23087,14684
23090,14684
23091,0
23101,2784
23094,0
23097,0
23100,0
23104,2784
23107,2784
23110,2784
23111,8382
23114,8382
23117,8382
23120,8382
23121,27069
23002,314764
23005,314764
23008,314764
23011,341325
23014,341325
23017,341325
23019,341325
23021,66037
23024,66037
23027,66037
23030,66037
23031,292959
23034,292959
23037,292959
23040,292959
23041,49840
23044,49840
23047,49840
23050,49840
23051,30760
23052,30760
980001,213207
980002,213207
980003,213207
980004,213207
980005,213207
980006,213207
980007,213207
980008,213207
980009,213207
980010,213207
