71001,0
71002,0
71003,0
71004,0
71005,0
71006,0
71007,0
71008,0
71009,0
71010,0
71011,0
71012,0
71013,0
71014,0
71015,0
71016,0
71017,0
71018,0
71019,0
71020,0
71021,0
71022,0
71023,0
71024,0
71025,0
71026,0
71027,0
71028,0
71029,0
71030,0
71031,0
71032,0
71033,0
71034,0
71035,0
71036,0
71037,0
71038,0
71039,0
71040,0
71041,0
71042,0
71043,0
71044,0
71045,0
71046,0
71047,0
71048,0
71049,0
71050,0
27001,103051
27002,103051
27003,103051
27004,103051
27005,103051
27006,103051
27007,103051
27008,103051
27009,103051
27010,103051
27011,103051
27012,103051
27013,103051
27014,103051
27015,103051
27016,103051
27017,103051
27018,103051
27019,103051
27020,103051
27021,103051
27022,103051
27023,103051
27024,103051
27025,103051
28001,476757
28002,476757
28003,476757
28004,476757
28005,476757
28006,476757
28007,476757
28008,476757
28009,476757
28010,476757
28011,476757
28012,476757
28013,476757
28014,476757
28015,476757
28016,476757
28017,476757
28018,476757
28019,476757
28020,476757
28021,476757
28022,476757
28023,476757
28024,476757
28025,476757
990001,606156
990002,606156
990003,606156
990004,606156
990005,606156
990006,606156
990007,606156
990008,606156
990009,606156
990010,606156
990011,2605865
990016,3605602
20006,3343247
20007,3343247
990013,3858111
990014,3858111
990015,3858111
20008,3343247
20009,3343247
20010,3343247
20016,277324
20017,277324
20018,277324
20019,277324
20020,277324
20026,5556
20027,5556
20028,5556
20029,5556
20030,5556
20036,41123
20037,41123
20038,41123
20039,41123
20040,41123
20046,21578
20047,21578
20048,21578
20049,21578
20050,21578
20056,206480
20057,206480
20058,206480
20059,206480
20060,206480
20066,68083
20067,68083
20068,68083
20069,68083
20070,68083
20076,63514
20077,63514
20078,63514
20079,63514
20080,63514
20086,181673
20087,181673
20088,181673
20089,181673
20090,181673
20096,35833
20097,35833
20098,35833
20099,35833
20100,35833
20106,88727
20107,88727
20108,88727
20109,88727
20110,88727
20116,53845
20117,53845
20118,53845
20119,53845
20120,53845
20126,102709
20127,102709
20128,102709
20129,102709
20130,102709
20136,160015
20137,160015
20138,160015
20139,160015
20140,160015
20146,84120
20147,84120
20148,84120
20149,84120
20150,84120
20156,108291
20157,108291
20158,108291
20159,108291
20160,108291
20166,280383
20167,280383
20168,280383
20169,280383
20170,280383
20176,67803
20177,67803
20178,67803
20179,67803
20180,67803
20186,116550
20187,116550
20188,116550
20189,116550
20190,116550
20196,342
20197,342
20198,342
20199,342
20200,342
0940001,315117
0940002,315117
0940003,315117
0940004,315117
0940005,315117
0940007,315117
0940006,315117
0940008,315117
0940009,315117
0940010,315117
23001,314764
23003,314764
23006,314764
23009,314764
23012,341325
23015,341325
23022,66037
23025,66037
23028,66037
23032,292959
23035,292959
23038,292959
23042,49840
23045,49840
23048,49840
23053,30760
23055,30760
23057,30760
23059,30760
23062,10110
23065,10110
23068,10110
23072,36473
23075,36473
23078,36473
23082,14684
23085,14684
23088,14684
23105,2784
23092,0
23095,0
23098,0
23102,2784
23108,2784
23112,8382
23115,8382
23118,8382
23122,27069
23125,27069
23128,27069
23132,33193
23135,33193
23138,33193
23143,327715
23146,327715
23149,327715
23152,213949
23155,213949
23158,213949
23162,0
23165,0
23168,0
23172,72775
23175,72775
23182,597
23178,72775
23185,597
23188,597
23020,341325
